deviceID,time,lat,long,pm1,pm25,pm10,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,sfr,temp_ext,hum_ext,join_accessible,join_avgtravtim,join_b5_sc,join_b7_sc,join_bike_lane,join_borough_in,join_boroughcod,join_bphys_id,join_collection,join_continuous,join_created_by,join_date_creat,join_time_creat,join_fcc,join_fire_lane,join_from_level,join_joinid,join_l_blockfac,join_l_high_hn,join_l_low_hn,join_l_zip,join_lsubsect,join_modified_b,join_date_modif,join_time_modif,join_nominaldir,join_nonped,join_physicalid,join_posted_spe,join_r_blockfac,join_r_high_hn,join_r_low_hn,join_r_zip,join_rsubsect,join_rw_type,join_rwjurisdic,join_sandist_in,join_seglocstat,join_segmentlen,join_shape_leng,join_snow_prior,join_special_di,join_status,join_stname_lab,join_streetwi_1,join_streetwidt,join_to_level_c,join_trafdir,join_truck_rout,join_twisted_pa,join_within_bnd,join_wkt_field,join_org_fid,join_distance,distance
35003f000650483553353920,1579575866,40.807327,-73.943291,0.4,0.4,0.4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,18,15.1,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569044361
35003f000650483553353920,1579575930,40.807449,-73.943329,0.65,1.81,1.97,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,18,15,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569167925
35003f000650483553353920,1579576004,40.807358,-73.943428,0.47,0.56,0.57,69,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,18,15.1,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569081403
35003f000650483553353920,1579576112,40.807388,-73.94339,0.42,0.44,0.44,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,18,15,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569109689
35003f000650483553353920,1579576207,40.807438,-73.943153,0.26,0.26,0.26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,18,15,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569149138
35003f000650483553353920,1579576277,40.807434,-73.943161,0.26,0.27,0.27,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,18,15,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569145496
30001c000f47373432363933,1579576439,40.807285,-73.943413,0.62,3.17,4.28,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,16.6,13.6,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569007809
30001c000f47373432363933,1579576501,40.807358,-73.943481,0.73,0.83,0.83,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,16.6,13.5,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569083753
30001c000f47373432363933,1579576571,40.807384,-73.943466,0.29,0.29,0.29,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,16.6,13.2,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569109062
30001c000f47373432363933,1579576631,40.807346,-73.943405,0.61,0.71,0.71,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,16.5,13.6,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569068395
30001c000f47373432363933,1579576699,40.80735,-73.943588,0.47,3.3,42.05,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,16.4,13.3,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.569080506
30001c000f47373432363933,1579576763,40.807266,-73.943268,0.58,0.6,0.6,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,16.3,13.6,,0,207737,20773701,,,2,0,,,DCP,11/29/07,00:00.0,,,13,,1522614235,,,10471,3E,BlockfaceID_LOAD,12/22/15,00:00.0,,,105174,0,1522609447,,,10471,3E,1,3,,,161.5145602,161.5144543,V,,2,ADMINISTRATION HILL,,20,13,TW,,N,,Point (-73,37766,0,6.568982402
